dt, x, y
1000, 29786, 1.496e+08, 
2000, 59572, 1.496e+08, 
3000, 89358, 1.496e+08, 
4000, 119144, 1.496e+08, 
5000, 148930, 1.496e+08, 
6000, 178716, 1.496e+08, 
7000, 208502, 1.496e+08, 
8000, 238288, 1.496e+08, 
9000, 268074, 1.496e+08, 
10000, 297860, 1.496e+08, 
11000, 327646, 1.496e+08, 
12000, 357432, 1.496e+08, 
13000, 387218, 1.49599e+08, 
14000, 417003, 1.49599e+08, 
15000, 446789, 1.49599e+08, 
16000, 476575, 1.49599e+08, 
17000, 506361, 1.49599e+08, 
18000, 536147, 1.49599e+08, 
19000, 565933, 1.49599e+08, 
20000, 595718, 1.49599e+08, 
21000, 625504, 1.49599e+08, 
22000, 655290, 1.49599e+08, 
23000, 685076, 1.49598e+08, 
24000, 714861, 1.49598e+08, 
25000, 744647, 1.49598e+08, 
26000, 774432, 1.49598e+08, 
27000, 804218, 1.49598e+08, 
28000, 834004, 1.49598e+08, 
29000, 863789, 1.49598e+08, 
30000, 893575, 1.49597e+08, 
31000, 923360, 1.49597e+08, 
32000, 953145, 1.49597e+08, 
33000, 982931, 1.49597e+08, 
34000, 1.01272e+06, 1.49597e+08, 
35000, 1.0425e+06, 1.49596e+08, 
36000, 1.07229e+06, 1.49596e+08, 
37000, 1.10207e+06, 1.49596e+08, 
38000, 1.13186e+06, 1.49596e+08, 
39000, 1.16164e+06, 1.49595e+08, 
40000, 1.19143e+06, 1.49595e+08, 
41000, 1.22121e+06, 1.49595e+08, 
42000, 1.251e+06, 1.49595e+08, 
43000, 1.28078e+06, 1.49595e+08, 
44000, 1.31057e+06, 1.49594e+08, 
45000, 1.34035e+06, 1.49594e+08, 
46000, 1.37014e+06, 1.49594e+08, 
47000, 1.39992e+06, 1.49593e+08, 
48000, 1.42971e+06, 1.49593e+08, 
49000, 1.45949e+06, 1.49593e+08, 
50000, 1.48928e+06, 1.49593e+08, 
51000, 1.51906e+06, 1.49592e+08, 
52000, 1.54884e+06, 1.49592e+08, 
53000, 1.57863e+06, 1.49592e+08, 
54000, 1.60841e+06, 1.49591e+08, 
55000, 1.6382e+06, 1.49591e+08, 
56000, 1.66798e+06, 1.49591e+08, 
57000, 1.69777e+06, 1.4959e+08, 
58000, 1.72755e+06, 1.4959e+08, 
59000, 1.75733e+06, 1.4959e+08, 
60000, 1.78712e+06, 1.49589e+08, 
61000, 1.8169e+06, 1.49589e+08, 
62000, 1.84668e+06, 1.49589e+08, 
63000, 1.87647e+06, 1.49588e+08, 
