dt, x, y,
1000,13057.2,7.79E+08, 
2000,26114.3,7.79E+08, 
3000,39171.5,7.79E+08, 
4000,52228.6,7.79E+08, 
5000,65285.8,7.79E+08, 
6000,78342.9,7.79E+08, 
7000,91400.1,7.79E+08, 
8000,104457,7.79E+08, 
9000,117514,7.79E+08, 
10000,130572,7.79E+08, 
11000,143629,7.79E+08, 
12000,156686,7.79E+08, 
13000,169743,7.79E+08, 
14000,182800,7.79E+08, 
15000,195857,7.79E+08, 
16000,208915,7.79E+08, 
17000,221972,7.79E+08, 
18000,235029,7.79E+08, 
19000,248086,7.79E+08, 
20000,261143,7.79E+08, 
21000,274200,7.79E+08, 
22000,287257,7.79E+08, 
23000,300315,7.79E+08, 
24000,313372,7.79E+08, 
25000,326429,7.79E+08, 
26000,339486,7.79E+08, 
27000,352543,7.79E+08, 
28000,365600,7.79E+08, 
29000,378658,7.79E+08, 
30000,391715,7.79E+08, 
31000,404772,7.79E+08, 
32000,417829,7.79E+08, 
33000,430886,7.79E+08, 
34000,443943,7.79E+08, 
35000,457000,7.79E+08, 
36000,470058,7.79E+08, 
37000,483115,7.79E+08, 
38000,496172,7.79E+08, 
39000,509229,7.79E+08, 
40000,522286,7.79E+08, 
41000,535343,7.79E+08, 
42000,548401,7.79E+08, 
43000,561458,7.79E+08, 
44000,574515,7.79E+08, 
45000,587572,7.79E+08, 
46000,600629,7.79E+08, 
47000,613686,7.79E+08, 
48000,626743,7.79E+08, 
49000,639801,7.79E+08, 
50000,652858,7.79E+08, 
51000,665915,7.79E+08, 
52000,678972,7.79E+08, 
53000,692029,7.79E+08, 
54000,705086,7.79E+08, 
55000,718144,7.79E+08, 
56000,731201,7.79E+08, 
57000,744258,7.79E+08, 
58000,757315,7.79E+08, 
59000,770372,7.79E+08, 
60000,783429,7.79E+08, 
61000,796486,7.79E+08, 
62000,809544,7.79E+08, 
63000,822601,7.79E+08, 
64000,835658,7.79E+08, 
65000,848715,7.79E+08, 
66000,861772,7.79E+08, 
67000,874829,7.79E+08, 
68000,887887,7.78E+08, 
69000,900944,7.78E+08, 
70000,914001,7.78E+08, 
71000,927058,7.78E+08, 
72000,940115,7.78E+08, 
73000,953172,7.78E+08, 
74000,966229,7.78E+08, 
75000,979287,7.78E+08, 
76000,992344,7.78E+08, 
77000,1.01E+06,7.78E+08, 
78000,1.02E+06,7.78E+08, 
79000,1.03E+06,7.78E+08, 
80000,1.04E+06,7.78E+08, 
81000,1.06E+06,7.78E+08, 
82000,1.07E+06,7.78E+08, 
83000,1.08E+06,7.78E+08, 
84000,1.10E+06,7.78E+08, 
85000,1.11E+06,7.78E+08, 
86000,1.12E+06,7.78E+08, 
87000,1.14E+06,7.78E+08, 
88000,1.15E+06,7.78E+08, 
89000,1.16E+06,7.78E+08, 
