dt, x, y
1000, 24132.7, 2.279e+08, 
2000, 48265.4, 2.279e+08, 
3000, 72398.1, 2.279e+08, 
4000, 96530.8, 2.279e+08, 
5000, 120663, 2.279e+08, 
6000, 144796, 2.279e+08, 
7000, 168929, 2.279e+08, 
8000, 193062, 2.279e+08, 
9000, 217194, 2.279e+08, 
10000, 241327, 2.279e+08, 
11000, 265460, 2.279e+08, 
12000, 289592, 2.279e+08, 
13000, 313725, 2.279e+08, 
14000, 337858, 2.279e+08, 
15000, 361990, 2.279e+08, 
16000, 386123, 2.279e+08, 
17000, 410256, 2.279e+08, 
18000, 434388, 2.279e+08, 
19000, 458521, 2.279e+08, 
20000, 482654, 2.27899e+08, 
21000, 506786, 2.27899e+08, 
22000, 530919, 2.27899e+08, 
23000, 555051, 2.27899e+08, 
24000, 579184, 2.27899e+08, 
25000, 603317, 2.27899e+08, 
26000, 627449, 2.27899e+08, 
27000, 651582, 2.27899e+08, 
28000, 675714, 2.27899e+08, 
29000, 699847, 2.27899e+08, 
30000, 723980, 2.27899e+08, 
31000, 748112, 2.27899e+08, 
32000, 772245, 2.27899e+08, 
33000, 796377, 2.27899e+08, 
34000, 820510, 2.27899e+08, 
35000, 844642, 2.27898e+08, 
36000, 868775, 2.27898e+08, 
37000, 892907, 2.27898e+08, 
38000, 917040, 2.27898e+08, 
39000, 941172, 2.27898e+08, 
40000, 965305, 2.27898e+08, 
41000, 989437, 2.27898e+08, 
42000, 1.01357e+06, 2.27898e+08, 
43000, 1.0377e+06, 2.27898e+08, 
44000, 1.06183e+06, 2.27898e+08, 
45000, 1.08597e+06, 2.27897e+08, 
46000, 1.1101e+06, 2.27897e+08, 
47000, 1.13423e+06, 2.27897e+08, 
48000, 1.15836e+06, 2.27897e+08, 
49000, 1.1825e+06, 2.27897e+08, 
50000, 1.20663e+06, 2.27897e+08, 
51000, 1.23076e+06, 2.27897e+08, 
52000, 1.25489e+06, 2.27897e+08, 
53000, 1.27903e+06, 2.27896e+08, 
54000, 1.30316e+06, 2.27896e+08, 
55000, 1.32729e+06, 2.27896e+08, 
56000, 1.35142e+06, 2.27896e+08, 
57000, 1.37556e+06, 2.27896e+08, 
58000, 1.39969e+06, 2.27896e+08, 
59000, 1.42382e+06, 2.27896e+08, 
60000, 1.44795e+06, 2.27895e+08, 
61000, 1.47208e+06, 2.27895e+08, 
62000, 1.49622e+06, 2.27895e+08, 
63000, 1.52035e+06, 2.27895e+08, 
64000, 1.54448e+06, 2.27895e+08, 
65000, 1.56861e+06, 2.27895e+08, 
66000, 1.59274e+06, 2.27894e+08, 
67000, 1.61688e+06, 2.27894e+08, 
68000, 1.64101e+06, 2.27894e+08, 
69000, 1.66514e+06, 2.27894e+08, 
70000, 1.68927e+06, 2.27894e+08, 
71000, 1.71341e+06, 2.27894e+08, 
72000, 1.73754e+06, 2.27893e+08, 
73000, 1.76167e+06, 2.27893e+08, 
74000, 1.7858e+06, 2.27893e+08, 
75000, 1.80993e+06, 2.27893e+08, 
76000, 1.83406e+06, 2.27893e+08, 
77000, 1.8582e+06, 2.27892e+08, 
78000, 1.88233e+06, 2.27892e+08, 
79000, 1.90646e+06, 2.27892e+08, 
80000, 1.93059e+06, 2.27892e+08, 
81000, 1.95472e+06, 2.27892e+08, 
82000, 1.97886e+06, 2.27891e+08, 
83000, 2.00299e+06, 2.27891e+08, 
84000, 2.02712e+06, 2.27891e+08, 
85000, 2.05125e+06, 2.27891e+08, 
86000, 2.07538e+06, 2.27891e+08, 
87000, 2.09951e+06, 2.2789e+08, 
88000, 2.12365e+06, 2.2789e+08, 
89000, 2.14778e+06, 2.2789e+08, 
90000, 2.17191e+06, 2.2789e+08, 
91000, 2.19604e+06, 2.27889e+08, 
92000, 2.22017e+06, 2.27889e+08, 
93000, 2.2443e+06, 2.27889e+08, 
94000, 2.26844e+06, 2.27889e+08, 
95000, 2.29257e+06, 2.27888e+08, 
96000, 2.3167e+06, 2.27888e+08, 
97000, 2.34083e+06, 2.27888e+08, 
98000, 2.36496e+06, 2.27888e+08, 
99000, 2.38909e+06, 2.27887e+08, 
100000, 2.41322e+06, 2.27887e+08, 
101000, 2.43736e+06, 2.27887e+08, 
102000, 2.46149e+06, 2.27887e+08, 
103000, 2.48562e+06, 2.27886e+08, 
104000, 2.50975e+06, 2.27886e+08, 
105000, 2.53388e+06, 2.27886e+08, 
106000, 2.55801e+06, 2.27886e+08, 
107000, 2.58214e+06, 2.27885e+08, 
108000, 2.60627e+06, 2.27885e+08, 
109000, 2.63041e+06, 2.27885e+08, 
110000, 2.65454e+06, 2.27885e+08, 
111000, 2.67867e+06, 2.27884e+08, 
112000, 2.7028e+06, 2.27884e+08, 
113000, 2.72693e+06, 2.27884e+08, 
114000, 2.75106e+06, 2.27883e+08, 
115000, 2.77519e+06, 2.27883e+08, 
116000, 2.79932e+06, 2.27883e+08, 
117000, 2.82345e+06, 2.27883e+08, 
118000, 2.84758e+06, 2.27882e+08, 
119000, 2.87171e+06, 2.27882e+08, 
120000, 2.89585e+06, 2.27882e+08, 
121000, 2.91998e+06, 2.27881e+08, 
122000, 2.94411e+06, 2.27881e+08, 
123000, 2.96824e+06, 2.27881e+08, 
124000, 2.99237e+06, 2.2788e+08, 
125000, 3.0165e+06, 2.2788e+08, 
126000, 3.04063e+06, 2.2788e+08, 
127000, 3.06476e+06, 2.27879e+08, 
128000, 3.08889e+06, 2.27879e+08, 
129000, 3.11302e+06, 2.27879e+08, 
130000, 3.13715e+06, 2.27878e+08, 
131000, 3.16128e+06, 2.27878e+08, 
132000, 3.18541e+06, 2.27878e+08, 
133000, 3.20954e+06, 2.27877e+08, 
134000, 3.23367e+06, 2.27877e+08, 
135000, 3.2578e+06, 2.27877e+08, 
136000, 3.28193e+06, 2.27876e+08, 
137000, 3.30606e+06, 2.27876e+08, 
138000, 3.33019e+06, 2.27876e+08, 
139000, 3.35432e+06, 2.27875e+08, 
140000, 3.37845e+06, 2.27875e+08, 
141000, 3.40258e+06, 2.27875e+08, 
142000, 3.42671e+06, 2.27874e+08, 
143000, 3.45084e+06, 2.27874e+08, 
144000, 3.47497e+06, 2.27874e+08, 
145000, 3.4991e+06, 2.27873e+08, 
146000, 3.52323e+06, 2.27873e+08, 
147000, 3.54736e+06, 2.27872e+08, 
148000, 3.57149e+06, 2.27872e+08, 
149000, 3.59562e+06, 2.27872e+08, 
150000, 3.61975e+06, 2.27871e+08, 
151000, 3.64388e+06, 2.27871e+08, 
152000, 3.66801e+06, 2.2787e+08, 
153000, 3.69214e+06, 2.2787e+08, 
154000, 3.71627e+06, 2.2787e+08, 
155000, 3.7404e+06, 2.27869e+08, 
156000, 3.76453e+06, 2.27869e+08, 
157000, 3.78866e+06, 2.27869e+08, 
158000, 3.81279e+06, 2.27868e+08, 
159000, 3.83692e+06, 2.27868e+08, 
160000, 3.86105e+06, 2.27867e+08, 
161000, 3.88518e+06, 2.27867e+08, 
162000, 3.9093e+06, 2.27866e+08, 
163000, 3.93343e+06, 2.27866e+08, 
164000, 3.95756e+06, 2.27866e+08, 
165000, 3.98169e+06, 2.27865e+08, 
166000, 4.00582e+06, 2.27865e+08, 
167000, 4.02995e+06, 2.27864e+08, 
168000, 4.05408e+06, 2.27864e+08, 
169000, 4.07821e+06, 2.27864e+08, 
170000, 4.10234e+06, 2.27863e+08, 
171000, 4.12647e+06, 2.27863e+08, 
