dt, x, y
1000, 47874.2, 5.791e+07, 
2000, 95748.3, 5.79099e+07, 
3000, 143622, 5.79098e+07, 
4000, 191496, 5.79097e+07, 
5000, 239370, 5.79095e+07, 
6000, 287244, 5.79093e+07, 
7000, 335117, 5.7909e+07, 
8000, 382990, 5.79087e+07, 
9000, 430863, 5.79084e+07, 
10000, 478736, 5.7908e+07, 
11000, 526609, 5.79076e+07, 
12000, 574481, 5.79072e+07, 
13000, 622352, 5.79067e+07, 
14000, 670223, 5.79061e+07, 
15000, 718094, 5.79055e+07, 
16000, 765964, 5.79049e+07, 
17000, 813834, 5.79043e+07, 
18000, 861703, 5.79036e+07, 
19000, 909572, 5.79029e+07, 
20000, 957440, 5.79021e+07, 
21000, 1.00531e+06, 5.79013e+07, 
22000, 1.05317e+06, 5.79004e+07, 
23000, 1.10104e+06, 5.78995e+07, 
24000, 1.1489e+06, 5.78986e+07, 
25000, 1.19677e+06, 5.78976e+07, 
26000, 1.24463e+06, 5.78966e+07, 
27000, 1.2925e+06, 5.78956e+07, 
28000, 1.34036e+06, 5.78945e+07, 
29000, 1.38822e+06, 5.78934e+07, 
30000, 1.43608e+06, 5.78922e+07, 
31000, 1.48394e+06, 5.7891e+07, 
32000, 1.53179e+06, 5.78897e+07, 
33000, 1.57965e+06, 5.78885e+07, 
34000, 1.62751e+06, 5.78871e+07, 
35000, 1.67536e+06, 5.78858e+07, 
36000, 1.72322e+06, 5.78844e+07, 
37000, 1.77107e+06, 5.78829e+07, 
38000, 1.81892e+06, 5.78814e+07, 
39000, 1.86677e+06, 5.78799e+07, 
40000, 1.91462e+06, 5.78783e+07, 
41000, 1.96246e+06, 5.78767e+07, 
42000, 2.01031e+06, 5.78751e+07, 
43000, 2.05816e+06, 5.78734e+07, 
44000, 2.106e+06, 5.78717e+07, 
45000, 2.15384e+06, 5.78699e+07, 
46000, 2.20168e+06, 5.78681e+07, 
47000, 2.24952e+06, 5.78663e+07, 
48000, 2.29736e+06, 5.78644e+07, 
49000, 2.34519e+06, 5.78625e+07, 
50000, 2.39303e+06, 5.78605e+07, 
51000, 2.44086e+06, 5.78585e+07, 
52000, 2.48869e+06, 5.78565e+07, 
53000, 2.53652e+06, 5.78544e+07, 
54000, 2.58435e+06, 5.78523e+07, 
55000, 2.63217e+06, 5.78501e+07, 
56000, 2.68e+06, 5.7848e+07, 
57000, 2.72782e+06, 5.78457e+07, 
58000, 2.77564e+06, 5.78434e+07, 
59000, 2.82346e+06, 5.78411e+07, 
60000, 2.87127e+06, 5.78388e+07, 
61000, 2.91909e+06, 5.78364e+07, 
62000, 2.9669e+06, 5.78339e+07, 
63000, 3.01471e+06, 5.78315e+07, 
64000, 3.06252e+06, 5.7829e+07, 
65000, 3.11032e+06, 5.78264e+07, 
66000, 3.15813e+06, 5.78238e+07, 
67000, 3.20593e+06, 5.78212e+07, 
68000, 3.25373e+06, 5.78185e+07, 
69000, 3.30153e+06, 5.78158e+07, 
70000, 3.34932e+06, 5.78131e+07, 
71000, 3.39711e+06, 5.78103e+07, 
72000, 3.4449e+06, 5.78074e+07, 
73000, 3.49269e+06, 5.78046e+07, 
74000, 3.54048e+06, 5.78017e+07, 
75000, 3.58826e+06, 5.77987e+07, 
76000, 3.63604e+06, 5.77957e+07, 
77000, 3.68382e+06, 5.77927e+07, 
78000, 3.7316e+06, 5.77896e+07, 
79000, 3.77937e+06, 5.77865e+07, 
80000, 3.82714e+06, 5.77834e+07, 
81000, 3.87491e+06, 5.77802e+07, 
82000, 3.92268e+06, 5.7777e+07, 
83000, 3.97044e+06, 5.77737e+07, 
84000, 4.0182e+06, 5.77704e+07, 
85000, 4.06596e+06, 5.77671e+07, 
86000, 4.11371e+06, 5.77637e+07, 
87000, 4.16146e+06, 5.77603e+07, 
88000, 4.20921e+06, 5.77568e+07, 
89000, 4.25696e+06, 5.77533e+07, 
90000, 4.3047e+06, 5.77498e+07, 
91000, 4.35244e+06, 5.77462e+07, 
92000, 4.40018e+06, 5.77426e+07, 
93000, 4.44791e+06, 5.77389e+07, 
94000, 4.49564e+06, 5.77352e+07, 
95000, 4.54337e+06, 5.77315e+07, 
96000, 4.5911e+06, 5.77277e+07, 
97000, 4.63882e+06, 5.77239e+07, 
98000, 4.68654e+06, 5.77201e+07, 
99000, 4.73425e+06, 5.77162e+07, 
100000, 4.78196e+06, 5.77122e+07, 
101000, 4.82967e+06, 5.77083e+07, 
102000, 4.87738e+06, 5.77042e+07, 
103000, 4.92508e+06, 5.77002e+07, 
104000, 4.97278e+06, 5.76961e+07, 
105000, 5.02048e+06, 5.7692e+07, 
106000, 5.06817e+06, 5.76878e+07, 
107000, 5.11586e+06, 5.76836e+07, 
108000, 5.16354e+06, 5.76793e+07, 
109000, 5.21122e+06, 5.7675e+07, 
110000, 5.2589e+06, 5.76707e+07, 
111000, 5.30658e+06, 5.76664e+07, 
112000, 5.35425e+06, 5.76619e+07, 
113000, 5.40192e+06, 5.76575e+07, 
114000, 5.44958e+06, 5.7653e+07, 
115000, 5.49724e+06, 5.76485e+07, 
116000, 5.54489e+06, 5.76439e+07, 
117000, 5.59255e+06, 5.76393e+07, 
118000, 5.6402e+06, 5.76347e+07, 
119000, 5.68784e+06, 5.763e+07, 
120000, 5.73548e+06, 5.76253e+07, 
121000, 5.78312e+06, 5.76205e+07, 
122000, 5.83075e+06, 5.76157e+07, 
123000, 5.87838e+06, 5.76109e+07, 
124000, 5.926e+06, 5.7606e+07, 
125000, 5.97363e+06, 5.76011e+07, 
126000, 6.02124e+06, 5.75961e+07, 
127000, 6.06885e+06, 5.75911e+07, 
128000, 6.11646e+06, 5.75861e+07, 
129000, 6.16407e+06, 5.7581e+07, 
130000, 6.21167e+06, 5.75759e+07, 
131000, 6.25926e+06, 5.75707e+07, 
132000, 6.30685e+06, 5.75655e+07, 
133000, 6.35444e+06, 5.75603e+07, 
134000, 6.40202e+06, 5.7555e+07, 
135000, 6.4496e+06, 5.75497e+07, 
136000, 6.49718e+06, 5.75444e+07, 
137000, 6.54475e+06, 5.7539e+07, 
138000, 6.59231e+06, 5.75336e+07, 
139000, 6.63987e+06, 5.75281e+07, 
140000, 6.68743e+06, 5.75226e+07, 
141000, 6.73498e+06, 5.7517e+07, 
142000, 6.78253e+06, 5.75114e+07, 
143000, 6.83007e+06, 5.75058e+07, 
144000, 6.87761e+06, 5.75001e+07, 
145000, 6.92514e+06, 5.74944e+07, 
146000, 6.97267e+06, 5.74887e+07, 
147000, 7.02019e+06, 5.74829e+07, 
148000, 7.06771e+06, 5.74771e+07, 
149000, 7.11522e+06, 5.74712e+07, 
150000, 7.16273e+06, 5.74653e+07, 
151000, 7.21024e+06, 5.74594e+07, 
152000, 7.25774e+06, 5.74534e+07, 
153000, 7.30523e+06, 5.74474e+07, 
154000, 7.35272e+06, 5.74413e+07, 
155000, 7.4002e+06, 5.74352e+07, 
156000, 7.44768e+06, 5.74291e+07, 
157000, 7.49516e+06, 5.74229e+07, 
158000, 7.54263e+06, 5.74167e+07, 
159000, 7.59009e+06, 5.74104e+07, 
160000, 7.63755e+06, 5.74041e+07, 
161000, 7.685e+06, 5.73978e+07, 
162000, 7.73245e+06, 5.73914e+07, 
163000, 7.77989e+06, 5.7385e+07, 
164000, 7.82733e+06, 5.73786e+07, 
165000, 7.87476e+06, 5.73721e+07, 
166000, 7.92219e+06, 5.73656e+07, 
167000, 7.96961e+06, 5.7359e+07, 
168000, 8.01703e+06, 5.73524e+07, 
169000, 8.06444e+06, 5.73457e+07, 
170000, 8.11184e+06, 5.7339e+07, 
171000, 8.15924e+06, 5.73323e+07, 
172000, 8.20664e+06, 5.73256e+07, 
173000, 8.25402e+06, 5.73188e+07, 
174000, 8.30141e+06, 5.73119e+07, 
175000, 8.34878e+06, 5.7305e+07, 
176000, 8.39615e+06, 5.72981e+07, 
177000, 8.44352e+06, 5.72911e+07, 
178000, 8.49088e+06, 5.72841e+07, 
179000, 8.53823e+06, 5.72771e+07, 
180000, 8.58558e+06, 5.727e+07, 
181000, 8.63292e+06, 5.72629e+07, 
182000, 8.68026e+06, 5.72558e+07, 
183000, 8.72759e+06, 5.72486e+07, 
184000, 8.77491e+06, 5.72413e+07, 
185000, 8.82223e+06, 5.7234e+07, 
186000, 8.86955e+06, 5.72267e+07, 
187000, 8.91685e+06, 5.72194e+07, 
188000, 8.96415e+06, 5.7212e+07, 
189000, 9.01145e+06, 5.72046e+07, 
190000, 9.05873e+06, 5.71971e+07, 
191000, 9.10602e+06, 5.71896e+07, 
192000, 9.15329e+06, 5.7182e+07, 
193000, 9.20056e+06, 5.71745e+07, 
194000, 9.24782e+06, 5.71668e+07, 
195000, 9.29508e+06, 5.71592e+07, 
196000, 9.34233e+06, 5.71515e+07, 
197000, 9.38957e+06, 5.71437e+07, 
198000, 9.43681e+06, 5.71359e+07, 
199000, 9.48404e+06, 5.71281e+07, 
200000, 9.53127e+06, 5.71203e+07, 
201000, 9.57848e+06, 5.71124e+07, 
202000, 9.6257e+06, 5.71044e+07, 
