dt, x, y
1000, 5432.11, 4.498e+09, 
2000, 10864.2, 4.498e+09, 
3000, 16296.3, 4.498e+09, 
4000, 21728.4, 4.498e+09, 
5000, 27160.5, 4.498e+09, 
6000, 32592.6, 4.498e+09, 
7000, 38024.7, 4.498e+09, 
8000, 43456.8, 4.498e+09, 
9000, 48889, 4.498e+09, 
10000, 54321.1, 4.498e+09, 
11000, 59753.2, 4.498e+09, 
12000, 65185.3, 4.498e+09, 
13000, 70617.4, 4.498e+09, 
14000, 76049.5, 4.498e+09, 
15000, 81481.6, 4.498e+09, 
16000, 86913.7, 4.498e+09, 
17000, 92345.8, 4.498e+09, 
18000, 97777.9, 4.498e+09, 
19000, 103210, 4.498e+09, 
20000, 108642, 4.498e+09, 
21000, 114074, 4.498e+09, 
22000, 119506, 4.498e+09, 
23000, 124938, 4.498e+09, 
24000, 130371, 4.498e+09, 
25000, 135803, 4.498e+09, 
26000, 141235, 4.498e+09, 
27000, 146667, 4.498e+09, 
28000, 152099, 4.498e+09, 
29000, 157531, 4.498e+09, 
30000, 162963, 4.498e+09, 
31000, 168395, 4.498e+09, 
32000, 173827, 4.498e+09, 
33000, 179259, 4.498e+09, 
34000, 184692, 4.498e+09, 
35000, 190124, 4.498e+09, 
36000, 195556, 4.498e+09, 
37000, 200988, 4.498e+09, 
38000, 206420, 4.498e+09, 
39000, 211852, 4.498e+09, 
40000, 217284, 4.498e+09, 
41000, 222716, 4.498e+09, 
42000, 228148, 4.498e+09, 
43000, 233581, 4.498e+09, 
44000, 239013, 4.498e+09, 
45000, 244445, 4.498e+09, 
46000, 249877, 4.498e+09, 
47000, 255309, 4.498e+09, 
48000, 260741, 4.498e+09, 
49000, 266173, 4.498e+09, 
50000, 271605, 4.498e+09, 
51000, 277037, 4.498e+09, 
52000, 282470, 4.498e+09, 
53000, 287902, 4.498e+09, 
54000, 293334, 4.498e+09, 
55000, 298766, 4.498e+09, 
56000, 304198, 4.498e+09, 
57000, 309630, 4.498e+09, 
58000, 315062, 4.498e+09, 
59000, 320494, 4.498e+09, 
60000, 325926, 4.498e+09, 
61000, 331358, 4.498e+09, 
62000, 336791, 4.498e+09, 
63000, 342223, 4.498e+09, 
64000, 347655, 4.498e+09, 
65000, 353087, 4.498e+09, 
66000, 358519, 4.498e+09, 
67000, 363951, 4.498e+09, 
68000, 369383, 4.498e+09, 
69000, 374815, 4.498e+09, 
70000, 380247, 4.498e+09, 
71000, 385680, 4.498e+09, 
72000, 391112, 4.498e+09, 
73000, 396544, 4.498e+09, 
74000, 401976, 4.498e+09, 
75000, 407408, 4.498e+09, 
76000, 412840, 4.498e+09, 
77000, 418272, 4.498e+09, 
78000, 423704, 4.498e+09, 
79000, 429136, 4.498e+09, 
80000, 434568, 4.498e+09, 
81000, 440001, 4.498e+09, 
82000, 445433, 4.498e+09, 
83000, 450865, 4.498e+09, 
84000, 456297, 4.498e+09, 
85000, 461729, 4.498e+09, 
86000, 467161, 4.498e+09, 
87000, 472593, 4.498e+09, 
88000, 478025, 4.498e+09, 
89000, 483457, 4.498e+09, 
90000, 488890, 4.498e+09, 
91000, 494322, 4.498e+09, 
92000, 499754, 4.498e+09, 
93000, 505186, 4.498e+09, 
94000, 510618, 4.498e+09, 
95000, 516050, 4.498e+09, 
96000, 521482, 4.498e+09, 
97000, 526914, 4.498e+09, 
98000, 532346, 4.498e+09, 
99000, 537778, 4.498e+09, 
100000, 543211, 4.498e+09, 
101000, 548643, 4.498e+09, 
102000, 554075, 4.498e+09, 
103000, 559507, 4.498e+09, 
104000, 564939, 4.498e+09, 
105000, 570371, 4.498e+09, 
106000, 575803, 4.498e+09, 
107000, 581235, 4.498e+09, 
108000, 586667, 4.498e+09, 
109000, 592100, 4.498e+09, 
110000, 597532, 4.498e+09, 
111000, 602964, 4.498e+09, 
112000, 608396, 4.498e+09, 
113000, 613828, 4.498e+09, 
114000, 619260, 4.498e+09, 
115000, 624692, 4.498e+09, 
116000, 630124, 4.498e+09, 
117000, 635556, 4.498e+09, 
118000, 640988, 4.498e+09, 
119000, 646421, 4.498e+09, 
120000, 651853, 4.498e+09, 
121000, 657285, 4.498e+09, 
122000, 662717, 4.498e+09, 
123000, 668149, 4.498e+09, 
124000, 673581, 4.498e+09, 
125000, 679013, 4.498e+09, 
126000, 684445, 4.498e+09, 
127000, 689877, 4.498e+09, 
128000, 695310, 4.498e+09, 
129000, 700742, 4.498e+09, 
130000, 706174, 4.498e+09, 
131000, 711606, 4.498e+09, 
132000, 717038, 4.498e+09, 
133000, 722470, 4.498e+09, 
134000, 727902, 4.498e+09, 
135000, 733334, 4.498e+09, 
136000, 738766, 4.498e+09, 
137000, 744199, 4.498e+09, 
138000, 749631, 4.498e+09, 
139000, 755063, 4.498e+09, 
140000, 760495, 4.498e+09, 
141000, 765927, 4.498e+09, 
142000, 771359, 4.498e+09, 
143000, 776791, 4.498e+09, 
144000, 782223, 4.498e+09, 
145000, 787655, 4.498e+09, 
146000, 793087, 4.498e+09, 
147000, 798520, 4.498e+09, 
148000, 803952, 4.498e+09, 
149000, 809384, 4.498e+09, 
150000, 814816, 4.498e+09, 
151000, 820248, 4.498e+09, 
152000, 825680, 4.498e+09, 
153000, 831112, 4.498e+09, 
154000, 836544, 4.498e+09, 
155000, 841976, 4.498e+09, 
156000, 847409, 4.498e+09, 
157000, 852841, 4.498e+09, 
158000, 858273, 4.498e+09, 
159000, 863705, 4.498e+09, 
160000, 869137, 4.498e+09, 
161000, 874569, 4.498e+09, 
162000, 880001, 4.498e+09, 
163000, 885433, 4.498e+09, 
164000, 890865, 4.498e+09, 
165000, 896297, 4.498e+09, 
166000, 901730, 4.498e+09, 
167000, 907162, 4.498e+09, 
168000, 912594, 4.498e+09, 
169000, 918026, 4.498e+09, 
170000, 923458, 4.498e+09, 
171000, 928890, 4.498e+09, 
172000, 934322, 4.498e+09, 
173000, 939754, 4.498e+09, 
174000, 945186, 4.498e+09, 
175000, 950619, 4.498e+09, 
176000, 956051, 4.498e+09, 
177000, 961483, 4.498e+09, 
178000, 966915, 4.498e+09, 
179000, 972347, 4.498e+09, 
180000, 977779, 4.498e+09, 
181000, 983211, 4.498e+09, 
182000, 988643, 4.498e+09, 
183000, 994075, 4.498e+09, 
184000, 999507, 4.498e+09, 
185000, 1.00494e+06, 4.498e+09, 
186000, 1.01037e+06, 4.498e+09, 
187000, 1.0158e+06, 4.498e+09, 
188000, 1.02124e+06, 4.498e+09, 
