dt, x, y
1000, 9623.98, 1.433e+09, 
2000, 19248, 1.433e+09, 
3000, 28871.9, 1.433e+09, 
4000, 38495.9, 1.433e+09, 
5000, 48119.9, 1.433e+09, 
6000, 57743.9, 1.433e+09, 
7000, 67367.9, 1.433e+09, 
8000, 76991.9, 1.433e+09, 
9000, 86615.8, 1.433e+09, 
10000, 96239.8, 1.433e+09, 
11000, 105864, 1.433e+09, 
12000, 115488, 1.433e+09, 
13000, 125112, 1.433e+09, 
14000, 134736, 1.433e+09, 
15000, 144360, 1.433e+09, 
16000, 153984, 1.433e+09, 
17000, 163608, 1.433e+09, 
18000, 173232, 1.433e+09, 
19000, 182856, 1.433e+09, 
20000, 192480, 1.433e+09, 
21000, 202104, 1.433e+09, 
22000, 211728, 1.433e+09, 
23000, 221352, 1.433e+09, 
24000, 230976, 1.433e+09, 
25000, 240600, 1.433e+09, 
26000, 250224, 1.433e+09, 
27000, 259848, 1.433e+09, 
28000, 269472, 1.433e+09, 
29000, 279096, 1.433e+09, 
30000, 288719, 1.433e+09, 
31000, 298343, 1.433e+09, 
32000, 307967, 1.433e+09, 
33000, 317591, 1.433e+09, 
34000, 327215, 1.433e+09, 
35000, 336839, 1.433e+09, 
36000, 346463, 1.433e+09, 
37000, 356087, 1.433e+09, 
38000, 365711, 1.433e+09, 
39000, 375335, 1.433e+09, 
40000, 384959, 1.433e+09, 
41000, 394583, 1.433e+09, 
42000, 404207, 1.433e+09, 
43000, 413831, 1.433e+09, 
44000, 423455, 1.433e+09, 
45000, 433079, 1.433e+09, 
46000, 442703, 1.433e+09, 
47000, 452327, 1.433e+09, 
48000, 461951, 1.433e+09, 
49000, 471575, 1.433e+09, 
50000, 481199, 1.433e+09, 
51000, 490823, 1.433e+09, 
52000, 500447, 1.433e+09, 
53000, 510071, 1.433e+09, 
54000, 519695, 1.433e+09, 
55000, 529319, 1.433e+09, 
56000, 538943, 1.433e+09, 
57000, 548567, 1.433e+09, 
58000, 558191, 1.433e+09, 
59000, 567815, 1.433e+09, 
60000, 577439, 1.433e+09, 
61000, 587063, 1.433e+09, 
62000, 596687, 1.433e+09, 
63000, 606311, 1.433e+09, 
64000, 615935, 1.433e+09, 
65000, 625559, 1.433e+09, 
66000, 635183, 1.433e+09, 
67000, 644807, 1.433e+09, 
68000, 654431, 1.433e+09, 
69000, 664055, 1.433e+09, 
70000, 673679, 1.433e+09, 
71000, 683303, 1.433e+09, 
72000, 692927, 1.433e+09, 
73000, 702551, 1.433e+09, 
74000, 712175, 1.433e+09, 
75000, 721799, 1.433e+09, 
76000, 731423, 1.433e+09, 
77000, 741047, 1.433e+09, 
78000, 750671, 1.433e+09, 
79000, 760295, 1.433e+09, 
80000, 769919, 1.433e+09, 
81000, 779543, 1.433e+09, 
82000, 789167, 1.433e+09, 
83000, 798791, 1.433e+09, 
84000, 808415, 1.433e+09, 
85000, 818039, 1.433e+09, 
86000, 827663, 1.433e+09, 
87000, 837286, 1.433e+09, 
88000, 846910, 1.433e+09, 
89000, 856534, 1.433e+09, 
90000, 866158, 1.433e+09, 
91000, 875782, 1.433e+09, 
92000, 885406, 1.433e+09, 
93000, 895030, 1.433e+09, 
94000, 904654, 1.433e+09, 
95000, 914278, 1.433e+09, 
96000, 923902, 1.433e+09, 
97000, 933526, 1.433e+09, 
98000, 943150, 1.433e+09, 
99000, 952774, 1.433e+09, 
100000, 962398, 1.433e+09, 
101000, 972022, 1.433e+09, 
102000, 981646, 1.433e+09, 
103000, 991270, 1.433e+09, 
104000, 1.00089e+06, 1.433e+09, 
105000, 1.01052e+06, 1.433e+09, 
106000, 1.02014e+06, 1.433e+09, 
107000, 1.02977e+06, 1.433e+09, 
108000, 1.03939e+06, 1.433e+09, 
109000, 1.04901e+06, 1.433e+09, 
110000, 1.05864e+06, 1.433e+09, 
111000, 1.06826e+06, 1.433e+09, 
112000, 1.07789e+06, 1.433e+09, 
113000, 1.08751e+06, 1.433e+09, 
114000, 1.09713e+06, 1.433e+09, 
115000, 1.10676e+06, 1.433e+09, 
116000, 1.11638e+06, 1.433e+09, 
117000, 1.12601e+06, 1.433e+09, 
118000, 1.13563e+06, 1.433e+09, 
119000, 1.14525e+06, 1.433e+09, 
120000, 1.15488e+06, 1.433e+09, 
121000, 1.1645e+06, 1.433e+09, 
122000, 1.17413e+06, 1.433e+09, 
123000, 1.18375e+06, 1.433e+09, 
124000, 1.19337e+06, 1.433e+09, 
125000, 1.203e+06, 1.433e+09, 
126000, 1.21262e+06, 1.433e+09, 
127000, 1.22225e+06, 1.433e+09, 
128000, 1.23187e+06, 1.433e+09, 
129000, 1.24149e+06, 1.433e+09, 
130000, 1.25112e+06, 1.433e+09, 
131000, 1.26074e+06, 1.433e+09, 
132000, 1.27037e+06, 1.433e+09, 
133000, 1.27999e+06, 1.433e+09, 
134000, 1.28961e+06, 1.433e+09, 
135000, 1.29924e+06, 1.433e+09, 
136000, 1.30886e+06, 1.433e+09, 
137000, 1.31849e+06, 1.433e+09, 
138000, 1.32811e+06, 1.433e+09, 
139000, 1.33773e+06, 1.433e+09, 
140000, 1.34736e+06, 1.433e+09, 
141000, 1.35698e+06, 1.433e+09, 
142000, 1.36661e+06, 1.433e+09, 
143000, 1.37623e+06, 1.433e+09, 
144000, 1.38585e+06, 1.433e+09, 
145000, 1.39548e+06, 1.433e+09, 
146000, 1.4051e+06, 1.433e+09, 
147000, 1.41473e+06, 1.433e+09, 
148000, 1.42435e+06, 1.433e+09, 
149000, 1.43397e+06, 1.433e+09, 
150000, 1.4436e+06, 1.433e+09, 
151000, 1.45322e+06, 1.433e+09, 
152000, 1.46285e+06, 1.433e+09, 
153000, 1.47247e+06, 1.433e+09, 
154000, 1.48209e+06, 1.433e+09, 
155000, 1.49172e+06, 1.433e+09, 
156000, 1.50134e+06, 1.433e+09, 
157000, 1.51097e+06, 1.433e+09, 
158000, 1.52059e+06, 1.433e+09, 
159000, 1.53021e+06, 1.433e+09, 
160000, 1.53984e+06, 1.433e+09, 
161000, 1.54946e+06, 1.433e+09, 
162000, 1.55908e+06, 1.433e+09, 
163000, 1.56871e+06, 1.433e+09, 
164000, 1.57833e+06, 1.433e+09, 
165000, 1.58796e+06, 1.433e+09, 
166000, 1.59758e+06, 1.433e+09, 
167000, 1.6072e+06, 1.433e+09, 
168000, 1.61683e+06, 1.433e+09, 
169000, 1.62645e+06, 1.433e+09, 
170000, 1.63608e+06, 1.433e+09, 
171000, 1.6457e+06, 1.433e+09, 
172000, 1.65532e+06, 1.433e+09, 
173000, 1.66495e+06, 1.433e+09, 
174000, 1.67457e+06, 1.433e+09, 
175000, 1.6842e+06, 1.433e+09, 
176000, 1.69382e+06, 1.433e+09, 
177000, 1.70344e+06, 1.433e+09, 
178000, 1.71307e+06, 1.433e+09, 
179000, 1.72269e+06, 1.433e+09, 
180000, 1.73232e+06, 1.433e+09, 
181000, 1.74194e+06, 1.433e+09, 
182000, 1.75156e+06, 1.433e+09, 
183000, 1.76119e+06, 1.433e+09, 
184000, 1.77081e+06, 1.433e+09, 
185000, 1.78044e+06, 1.433e+09, 
186000, 1.79006e+06, 1.433e+09, 
187000, 1.79968e+06, 1.433e+09, 
188000, 1.80931e+06, 1.433e+09, 
189000, 1.81893e+06, 1.433e+09, 
190000, 1.82856e+06, 1.433e+09, 
191000, 1.83818e+06, 1.433e+09, 
192000, 1.8478e+06, 1.433e+09, 
193000, 1.85743e+06, 1.433e+09, 
194000, 1.86705e+06, 1.433e+09, 
195000, 1.87668e+06, 1.433e+09, 
196000, 1.8863e+06, 1.433e+09, 
197000, 1.89592e+06, 1.433e+09, 
198000, 1.90555e+06, 1.433e+09, 
199000, 1.91517e+06, 1.433e+09, 
200000, 1.9248e+06, 1.433e+09, 
201000, 1.93442e+06, 1.433e+09, 
202000, 1.94404e+06, 1.433e+09, 
203000, 1.95367e+06, 1.433e+09, 
204000, 1.96329e+06, 1.433e+09, 
205000, 1.97292e+06, 1.433e+09, 
206000, 1.98254e+06, 1.433e+09, 
207000, 1.99216e+06, 1.433e+09, 
208000, 2.00179e+06, 1.433e+09, 
209000, 2.01141e+06, 1.433e+09, 
210000, 2.02104e+06, 1.433e+09, 
211000, 2.03066e+06, 1.433e+09, 
212000, 2.04028e+06, 1.433e+09, 
213000, 2.04991e+06, 1.433e+09, 
214000, 2.05953e+06, 1.433e+09, 
215000, 2.06916e+06, 1.433e+09, 
216000, 2.07878e+06, 1.433e+09, 
217000, 2.0884e+06, 1.433e+09, 
218000, 2.09803e+06, 1.433e+09, 
219000, 2.10765e+06, 1.433e+09, 
220000, 2.11728e+06, 1.433e+09, 
221000, 2.1269e+06, 1.433e+09, 
222000, 2.13652e+06, 1.433e+09, 
223000, 2.14615e+06, 1.433e+09, 
224000, 2.15577e+06, 1.433e+09, 
225000, 2.1654e+06, 1.433e+09, 
226000, 2.17502e+06, 1.433e+09, 
227000, 2.18464e+06, 1.433e+09, 
228000, 2.19427e+06, 1.433e+09, 
229000, 2.20389e+06, 1.433e+09, 
230000, 2.21352e+06, 1.433e+09, 
231000, 2.22314e+06, 1.433e+09, 
232000, 2.23276e+06, 1.433e+09, 
233000, 2.24239e+06, 1.433e+09, 
234000, 2.25201e+06, 1.433e+09, 
235000, 2.26164e+06, 1.433e+09, 
236000, 2.27126e+06, 1.433e+09, 
237000, 2.28088e+06, 1.433e+09, 
238000, 2.29051e+06, 1.433e+09, 
239000, 2.30013e+06, 1.433e+09, 
240000, 2.30975e+06, 1.433e+09, 
241000, 2.31938e+06, 1.433e+09, 
242000, 2.329e+06, 1.433e+09, 
243000, 2.33863e+06, 1.433e+09, 
244000, 2.34825e+06, 1.433e+09, 
245000, 2.35787e+06, 1.433e+09, 
246000, 2.3675e+06, 1.433e+09, 
247000, 2.37712e+06, 1.433e+09, 
248000, 2.38675e+06, 1.433e+09, 
249000, 2.39637e+06, 1.433e+09, 
250000, 2.40599e+06, 1.433e+09, 
251000, 2.41562e+06, 1.433e+09, 
252000, 2.42524e+06, 1.433e+09, 
253000, 2.43487e+06, 1.433e+09, 
254000, 2.44449e+06, 1.433e+09, 
255000, 2.45411e+06, 1.433e+09, 
256000, 2.46374e+06, 1.433e+09, 
257000, 2.47336e+06, 1.433e+09, 
258000, 2.48299e+06, 1.433e+09, 
259000, 2.49261e+06, 1.433e+09, 
260000, 2.50223e+06, 1.433e+09, 
261000, 2.51186e+06, 1.433e+09, 
262000, 2.52148e+06, 1.433e+09, 
263000, 2.53111e+06, 1.433e+09, 
