dt, x, y
1000, 6800.44, 2.87e+09, 
2000, 13600.9, 2.87e+09, 
3000, 20401.3, 2.87e+09, 
4000, 27201.8, 2.87e+09, 
5000, 34002.2, 2.87e+09, 
6000, 40802.6, 2.87e+09, 
7000, 47603.1, 2.87e+09, 
8000, 54403.5, 2.87e+09, 
9000, 61204, 2.87e+09, 
10000, 68004.4, 2.87e+09, 
11000, 74804.8, 2.87e+09, 
12000, 81605.3, 2.87e+09, 
13000, 88405.7, 2.87e+09, 
14000, 95206.2, 2.87e+09, 
15000, 102007, 2.87e+09, 
16000, 108807, 2.87e+09, 
17000, 115607, 2.87e+09, 
18000, 122408, 2.87e+09, 
19000, 129208, 2.87e+09, 
20000, 136009, 2.87e+09, 
21000, 142809, 2.87e+09, 
22000, 149610, 2.87e+09, 
23000, 156410, 2.87e+09, 
24000, 163211, 2.87e+09, 
25000, 170011, 2.87e+09, 
26000, 176811, 2.87e+09, 
27000, 183612, 2.87e+09, 
28000, 190412, 2.87e+09, 
29000, 197213, 2.87e+09, 
30000, 204013, 2.87e+09, 
31000, 210814, 2.87e+09, 
32000, 217614, 2.87e+09, 
33000, 224415, 2.87e+09, 
34000, 231215, 2.87e+09, 
35000, 238015, 2.87e+09, 
36000, 244816, 2.87e+09, 
37000, 251616, 2.87e+09, 
38000, 258417, 2.87e+09, 
39000, 265217, 2.87e+09, 
40000, 272018, 2.87e+09, 
41000, 278818, 2.87e+09, 
42000, 285618, 2.87e+09, 
43000, 292419, 2.87e+09, 
44000, 299219, 2.87e+09, 
45000, 306020, 2.87e+09, 
46000, 312820, 2.87e+09, 
47000, 319621, 2.87e+09, 
48000, 326421, 2.87e+09, 
49000, 333222, 2.87e+09, 
50000, 340022, 2.87e+09, 
51000, 346822, 2.87e+09, 
52000, 353623, 2.87e+09, 
53000, 360423, 2.87e+09, 
54000, 367224, 2.87e+09, 
55000, 374024, 2.87e+09, 
56000, 380825, 2.87e+09, 
57000, 387625, 2.87e+09, 
58000, 394426, 2.87e+09, 
59000, 401226, 2.87e+09, 
60000, 408026, 2.87e+09, 
61000, 414827, 2.87e+09, 
62000, 421627, 2.87e+09, 
63000, 428428, 2.87e+09, 
64000, 435228, 2.87e+09, 
65000, 442029, 2.87e+09, 
66000, 448829, 2.87e+09, 
67000, 455629, 2.87e+09, 
68000, 462430, 2.87e+09, 
69000, 469230, 2.87e+09, 
70000, 476031, 2.87e+09, 
71000, 482831, 2.87e+09, 
72000, 489632, 2.87e+09, 
73000, 496432, 2.87e+09, 
74000, 503233, 2.87e+09, 
75000, 510033, 2.87e+09, 
76000, 516833, 2.87e+09, 
77000, 523634, 2.87e+09, 
78000, 530434, 2.87e+09, 
79000, 537235, 2.87e+09, 
80000, 544035, 2.87e+09, 
81000, 550836, 2.87e+09, 
82000, 557636, 2.87e+09, 
83000, 564437, 2.87e+09, 
84000, 571237, 2.87e+09, 
85000, 578037, 2.87e+09, 
86000, 584838, 2.87e+09, 
87000, 591638, 2.87e+09, 
88000, 598439, 2.87e+09, 
89000, 605239, 2.87e+09, 
90000, 612040, 2.87e+09, 
91000, 618840, 2.87e+09, 
92000, 625640, 2.87e+09, 
93000, 632441, 2.87e+09, 
94000, 639241, 2.87e+09, 
95000, 646042, 2.87e+09, 
96000, 652842, 2.87e+09, 
97000, 659643, 2.87e+09, 
98000, 666443, 2.87e+09, 
99000, 673244, 2.87e+09, 
100000, 680044, 2.87e+09, 
101000, 686844, 2.87e+09, 
102000, 693645, 2.87e+09, 
103000, 700445, 2.87e+09, 
104000, 707246, 2.87e+09, 
105000, 714046, 2.87e+09, 
106000, 720847, 2.87e+09, 
107000, 727647, 2.87e+09, 
108000, 734447, 2.87e+09, 
109000, 741248, 2.87e+09, 
110000, 748048, 2.87e+09, 
111000, 754849, 2.87e+09, 
112000, 761649, 2.87e+09, 
113000, 768450, 2.87e+09, 
114000, 775250, 2.87e+09, 
115000, 782051, 2.87e+09, 
116000, 788851, 2.87e+09, 
117000, 795651, 2.87e+09, 
118000, 802452, 2.87e+09, 
119000, 809252, 2.87e+09, 
120000, 816053, 2.87e+09, 
121000, 822853, 2.87e+09, 
122000, 829654, 2.87e+09, 
123000, 836454, 2.87e+09, 
124000, 843255, 2.87e+09, 
125000, 850055, 2.87e+09, 
126000, 856855, 2.87e+09, 
127000, 863656, 2.87e+09, 
128000, 870456, 2.87e+09, 
129000, 877257, 2.87e+09, 
130000, 884057, 2.87e+09, 
131000, 890858, 2.87e+09, 
132000, 897658, 2.87e+09, 
133000, 904458, 2.87e+09, 
134000, 911259, 2.87e+09, 
135000, 918059, 2.87e+09, 
136000, 924860, 2.87e+09, 
137000, 931660, 2.87e+09, 
138000, 938461, 2.87e+09, 
139000, 945261, 2.87e+09, 
140000, 952062, 2.87e+09, 
141000, 958862, 2.87e+09, 
142000, 965662, 2.87e+09, 
143000, 972463, 2.87e+09, 
144000, 979263, 2.87e+09, 
145000, 986064, 2.87e+09, 
146000, 992864, 2.87e+09, 
147000, 999665, 2.87e+09, 
148000, 1.00647e+06, 2.87e+09, 
149000, 1.01327e+06, 2.87e+09, 
150000, 1.02007e+06, 2.87e+09, 
151000, 1.02687e+06, 2.87e+09, 
152000, 1.03367e+06, 2.87e+09, 
153000, 1.04047e+06, 2.87e+09, 
154000, 1.04727e+06, 2.87e+09, 
